Name,Radius,Mass,Distance
SDSS J000013.54+255418.6Â [de],70777296.90899992,9.113642553599999e+28,46.1
2MASS J00040288-6410358,116532317.13299993,3.6074835108e+28,192.0
2MASS J00242463-0158201,77926518.81899999,1.49995367028e+29,37.7
2MASS J00274197+0503417,102948795.50399993,5.8858941492000005e+28,236.0
2MASSW J0030300-145033,70062374.71799994,1.02528478728e+29,87.2
2MASS J00332386-1521309Â [de],102233873.31299993,5.5061590427999995e+28,131.0
2MASS J00345157+0523050,67202685.95399994,7.974437234399999e+28,31.0
2MASS 0036+1821,67202685.95399994,7.974437234399999e+28,28.6
2MASSW J0045214+163445,115817394.942,4.3669537235999995e+28,57.0
WISEP J004701.06+680352.1Â [fr],92939884.82999994,2.2784106383999997e+28,40.0
2MASS J00501994-3322402Â [de],67202685.95399994,7.594702128e+28,34.0
2MASS J00584253-0651239Â [de],102233873.31299993,5.5061590427999995e+28,96.0
2MASSI J0103320+193536,70062374.71799994,9.873112766399999e+28,70.0
SDSSp J010752.33+004156.1Â [de],70062374.71799994,9.873112766399999e+28,51.0
2MASSI J0117474-340325Â [de],115817394.942,3.797351064e+28,163.0
2MASS J01415823-4633574Â [de],115102472.751,3.797351064e+28,130.0
SDSS J015141.69+124429.6,69347452.52699994,8.9237750004e+28,70.0
SDSS J020742.48+000056.2Â [de],69347452.52699994,8.9237750004e+28,111.0
2MASS J02103857-3015313,109383095.22299999,2.848013298e+28,101.0
2MASS J02340093-6442068,115817394.942,3.797351064e+28,155.0
2MASS J02411151-0326587Â [de],100804028.93099992,5.1264239364e+28,152.0
2MASS J02431371âˆ’2453298,70777296.90899992,6.265629255599999e+28,35.0
LP 771-21,77211596.628,1.48096691496e+29,53.0
Teegarden's star,90795118.25699992,1.5189404256e+29,12.578
2MASS J02535980+3206373,135835216.28999993,1.2341390958e+29,184.0
WISE J0254+0223,135835216.28999993,1.2341390958e+29,24.0
DEN 0255-4700,69347452.52699994,1.5189404256e+29,16.2
2MASS J03185403-3421292Â [de],69347452.52699994,9.3035101068e+28,45.0
